Name,Old_price,New_price,Discount,Rating
3.5mm Wired Lapel Clip Omnidirectional Microphone Lavalier-,"₦ 3,412","₦ 1,873",45%,3.5 out of 5
JP-C1Powerful 3.1Home Theatre System+DVD Player+power Surge,"₦ 95,000","₦ 88,800",7%, 
Bluetooth Boom Sound Home  Theatre + Free LG DvD Player,"₦ 85,000","₦ 67,500",21%,3.7 out of 5
10 Inch Selfie LED RINGLIGHT -  Ring Light With Tripod Stand,"₦ 25,000","₦ 14,999",40%,1 out of 5
Wireless Mini WiFi Camera Home Security Night Vision Motion,"₦ 20,090","₦ 16,999",15%,3.7 out of 5
D Marc Television And Fridge Power Surge Protector,"₦ 10,000","₦ 9,500",5%,4 out of 5
Powerful Bluetooth Home Theater System,"₦ 69,000","₦ 50,000",28%,4 out of 5
2 In 1 Wireless BT5.0 Audio Adapter Transmiter & Receiver,"₦ 5,800","₦ 4,900",16%,4 out of 5
Dual USB 9V/12V/24V/36V to 5V Converter DC-DC 3A Step Down Power Module,"₦ 4,939","₦ 2,470",50%,4.2 out of 5
2 Way HDMI Switch Splitter Box 1x2 Port (1 Input X 2 Output) 1080p Full HD 1 Input 2 Output Hdmi Splitter 1.4a - Splits HDMI Signals To Two HD Displays: Blu-Ray Player 1080p 3D PS3 PS4 Xbox 360 Sky HD 3D(HDMI 1.4: 1 Way Input 2 Output),"₦ 16,000","₦ 11,400",29%,4 out of 5
Owlenz 2400 LUMEN  LED ANDROID PROJECTOR - BLACK,"₦ 250,000","₦ 199,999",20%,4.4 out of 5
Djack 5.1 Powerful Home Theater DJ-5055 And Sony DVD Player ,"₦ 188,000","₦ 150,500",20%,4.5 out of 5
Djack DJ 5050 Powerful Home Theatre With Bluetooth,"₦ 170,000","₦ 132,000",22%, 
HD Intelligent Solar Energy Alert PTZ Camera Rotational,"₦ 250,000","₦ 120,000",52%,3 out of 5
KOMERY AF2 4K Digital Video Camera With Stabilizers Kit,"₦ 551,484","₦ 386,039",30%,5 out of 5
S150 High Definition Dual Camera Obstacle Avoidance Wifi Drone Brushless Motor With 2 Batteries, ,"₦ 95,000", ,5 out of 5
3.1 Home Theater System With Bluetooth Function,"₦ 70,000","₦ 50,500",28%, 
